A.C.A.A	A.C.A.C	A.C.A.G	A.C.A.T	C.C.A.A	C.C.A.C	C.C.A.G	C.C.A.T	G.C.A.A	G.C.A.C	G.C.A.G	G.C.A.T	T.C.A.A	T.C.A.C	T.C.A.G	T.C.A.T	A.C.G.A	A.C.G.C	A.C.G.G	A.C.G.T	C.C.G.A	C.C.G.C	C.C.G.G	C.C.G.T	G.C.G.A	G.C.G.C	G.C.G.G	G.C.G.T	T.C.G.A	T.C.G.C	T.C.G.G	T.C.G.T	A.C.T.A	A.C.T.C	A.C.T.G	A.C.T.T	C.C.T.A	C.C.T.C	C.C.T.G	C.C.T.T	G.C.T.A	G.C.T.C	G.C.T.G	G.C.T.T	T.C.T.A	T.C.T.C	T.C.T.G	T.C.T.T	A.T.A.A	A.T.A.C	A.T.A.G	A.T.A.T	C.T.A.A	C.T.A.C	C.T.A.G	C.T.A.T	G.T.A.A	G.T.A.C	G.T.A.G	G.T.A.T	T.T.A.A	T.T.A.C	T.T.A.G	T.T.A.T	A.T.C.A	A.T.C.C	A.T.C.G	A.T.C.T	C.T.C.A	C.T.C.C	C.T.C.G	C.T.C.T	G.T.C.A	G.T.C.C	G.T.C.G	G.T.C.T	T.T.C.A	T.T.C.C	T.T.C.G	T.T.C.T	A.T.G.A	A.T.G.C	A.T.G.G	A.T.G.T	C.T.G.A	C.T.G.C	C.T.G.G	C.T.G.T	G.T.G.A	G.T.G.C	G.T.G.G	G.T.G.T	T.T.G.A	T.T.G.C	T.T.G.G	T.T.G.T
PD26419_1	13	7	0	10	14	12	2	11	8	6	0	3	6	10	2	12	7	3	1	2	5	1	1	5	0	0	1	3	27	11	5	36	6	2	7	9	12	1	8	9	5	3	13	6	58	19	6	49	4	3	7	9	4	5	5	4	1	4	2	11	6	2	2	8	6	3	4	7	3	2	5	12	3	2	2	3	8	4	0	10	3	1	4	7	0	3	5	5	1	0	0	3	1	6	4	8
PD26419_2	2	4	0	4	3	3	0	1	0	0	0	2	2	2	1	5	3	2	0	0	0	0	0	2	2	0	0	0	3	0	0	15	3	0	11	3	3	4	0	3	4	3	2	3	29	7	5	13	1	1	0	1	1	3	2	1	1	1	1	0	2	0	0	3	3	2	0	6	5	5	2	2	1	3	1	1	0	4	3	3	0	0	1	0	1	0	1	4	0	0	1	2	0	0	1	1
PD26400_2	4	4	0	4	2	2	3	3	0	4	0	2	7	5	0	12	1	2	0	5	0	0	0	0	1	0	0	0	4	3	0	7	2	3	4	3	4	6	8	6	4	4	6	4	6	6	3	11	3	4	2	3	1	1	1	2	3	3	1	0	8	3	5	3	10	4	5	5	2	3	6	5	3	11	5	5	4	10	1	6	10	0	3	6	4	1	5	19	3	3	4	24	8	1	3	8
MMRC01YHBM_1	21	6	3	8	10	6	1	4	8	6	3	3	21	8	1	20	5	6	2	2	2	3	1	5	2	2	2	2	6	2	1	6	23	10	32	12	14	14	16	16	20	16	28	18	27	15	19	23	4	5	6	20	1	6	10	6	3	2	2	3	16	5	4	14	15	9	13	20	7	10	13	10	6	3	5	9	9	12	6	15	9	4	4	5	4	2	3	11	2	2	1	6	15	4	6	23
MMRC01YHBM_2	3	3	0	1	6	3	0	5	4	2	1	4	2	3	0	4	1	0	0	2	0	0	0	1	2	1	0	1	0	1	0	0	1	4	8	5	8	1	8	5	3	5	12	3	3	5	5	3	2	1	2	5	1	0	1	1	1	1	1	0	3	1	0	0	1	2	2	4	6	4	5	3	2	1	2	1	5	3	2	6	2	1	2	1	2	0	1	8	3	0	1	0	5	0	1	7
MMRC01YHBM_subclonal	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MMRC006BBM_2	19	14	2	13	18	19	0	18	13	4	1	8	22	21	4	22	12	2	0	5	4	3	0	3	8	4	0	2	36	12	1	55	17	7	29	17	13	11	15	18	14	7	18	13	163	35	24	81	16	3	8	17	14	7	6	20	9	4	5	8	13	1	6	12	13	6	8	9	8	11	2	12	10	6	6	9	6	8	5	9	6	0	4	8	5	5	9	13	5	2	3	6	15	4	4	10
MMRC006BBM_1	49	23	8	24	53	24	2	26	27	10	5	13	112	52	8	88	14	11	5	21	30	19	2	43	14	7	4	16	247	51	11	328	44	16	40	34	66	38	22	49	52	32	33	41	860	184	94	450	36	11	19	31	48	13	14	36	35	10	15	24	64	9	12	42	34	12	19	19	23	23	18	24	25	18	8	22	29	20	7	30	18	2	11	10	36	6	7	22	17	3	13	15	46	7	17	28
PD26403_1	15	12	1	5	9	8	0	13	7	8	2	9	14	9	1	21	10	7	1	9	2	4	2	8	2	5	0	3	3	4	0	8	39	10	36	15	13	12	22	26	13	17	30	22	17	16	15	15	13	7	12	13	2	10	5	7	2	3	3	6	15	6	6	10	14	8	17	22	10	13	7	17	9	7	9	11	14	6	6	16	9	2	0	8	10	1	10	20	3	2	5	4	13	4	6	18
PD26403_subclonal	23	16	0	27	35	18	6	14	9	14	2	22	23	21	0	29	15	8	5	23	33	22	5	29	10	18	4	18	33	20	1	35	46	22	16	16	43	21	10	43	31	33	28	30	27	24	9	29	15	13	16	29	24	8	21	23	8	4	11	16	23	9	11	24	40	5	18	20	28	13	17	22	19	12	7	12	15	12	2	21	9	6	10	9	22	6	17	25	7	5	12	12	29	7	10	24
PD26403_2	3	1	0	3	3	2	0	8	10	2	0	7	7	7	1	12	3	0	0	3	1	1	0	0	2	2	0	3	2	0	0	3	6	1	16	5	5	8	14	6	4	8	14	9	4	2	9	6	8	1	2	7	2	0	2	2	1	2	1	0	8	2	1	4	9	2	10	7	3	9	6	8	6	3	2	4	7	13	3	15	9	0	1	10	1	2	3	8	3	2	0	2	6	1	5	21
PD26408_subclonal	10	5	3	8	8	6	0	15	5	3	1	6	7	6	0	14	6	1	1	4	2	2	0	3	3	2	0	4	5	4	1	13	16	5	17	2	8	9	16	18	8	1	30	7	30	13	7	14	8	4	6	13	3	8	4	7	5	3	4	3	10	2	7	10	13	2	6	11	5	4	4	5	4	1	4	0	6	9	2	13	3	1	2	3	0	3	1	3	1	0	3	0	3	1	2	11
PD26408_1	8	5	0	5	4	2	0	2	8	2	1	4	6	3	1	14	3	3	1	4	1	2	0	4	0	2	1	0	3	0	0	2	8	2	22	5	12	6	8	12	6	5	18	6	12	6	7	13	4	5	4	6	1	3	1	7	2	2	0	3	9	2	5	5	6	1	8	9	5	5	2	5	4	1	3	3	5	4	3	7	9	1	0	3	5	1	3	6	0	0	2	4	14	2	3	10
PD26408_2	5	5	0	1	6	3	0	4	3	2	0	8	8	4	1	5	5	2	0	2	0	1	0	0	0	0	0	0	0	1	0	1	6	6	12	2	6	5	10	4	6	3	15	5	2	2	1	6	1	3	1	7	1	0	0	3	3	2	2	0	4	0	4	5	13	3	5	3	3	4	5	8	4	1	1	2	5	7	2	2	8	2	2	2	3	2	2	9	1	2	0	6	14	2	2	14
PD26412_2	10	2	1	3	10	4	0	8	11	2	1	6	7	4	0	12	2	3	0	1	2	0	0	1	2	1	0	3	2	1	0	6	9	4	15	8	6	5	11	5	5	5	10	11	5	6	10	7	8	2	0	7	3	2	0	5	1	2	2	2	3	0	1	4	12	5	3	11	4	6	10	13	4	5	3	4	8	8	2	12	13	3	2	5	5	2	4	26	0	2	3	7	15	3	6	16
PD26412_subclonal	41	27	4	28	36	23	0	42	30	28	3	26	31	31	6	54	19	17	5	14	39	14	1	30	16	18	0	10	31	25	1	29	60	28	45	44	64	36	26	56	58	51	46	44	106	74	14	97	25	13	15	44	25	15	17	30	11	6	10	14	31	15	12	41	46	24	26	43	21	26	9	19	23	13	15	12	15	16	4	29	10	3	9	11	17	8	14	19	8	2	8	9	44	9	4	31
PD26411_subclonal	28	23	4	25	47	10	7	27	30	23	4	25	41	16	3	45	24	14	4	11	38	23	7	37	23	15	2	9	25	21	0	27	47	34	20	25	35	32	20	50	56	66	44	51	48	33	16	70	27	7	10	21	24	11	15	24	20	6	9	22	39	8	21	43	48	13	11	18	18	14	7	28	14	10	11	16	29	18	17	32	16	4	5	9	32	1	12	24	14	4	6	21	36	1	10	29
PD26411_1	20	7	2	13	12	9	1	15	9	5	1	11	17	9	1	20	12	7	2	5	15	5	1	6	7	5	1	6	6	8	2	22	21	12	27	18	17	18	20	25	25	17	39	16	31	18	19	25	20	4	12	14	7	8	7	8	5	2	2	10	11	6	8	6	31	8	11	21	8	6	7	11	6	10	9	18	10	11	5	15	11	4	7	9	10	4	5	23	2	1	2	12	20	7	8	22
PD26411_2	5	3	0	3	2	0	0	7	3	2	0	2	7	4	2	15	2	1	0	2	0	2	0	1	1	2	1	1	0	2	0	0	6	3	13	5	4	3	11	3	3	8	10	2	10	5	5	11	2	4	5	11	2	1	2	2	4	2	2	2	4	0	2	4	7	4	5	6	3	5	3	7	4	6	4	4	4	6	2	4	9	0	0	6	8	3	4	19	6	0	3	15	12	2	2	11
MMRC006BBM_3	5	0	0	2	3	2	1	1	2	0	0	2	3	0	0	6	1	1	0	0	0	0	0	0	0	0	1	2	1	0	1	1	2	0	2	2	0	0	1	5	1	1	2	0	7	2	0	4	2	0	2	2	2	2	2	2	1	0	2	1	1	0	1	1	4	1	1	1	2	1	1	4	0	0	1	0	2	1	1	1	4	0	1	0	0	0	0	1	1	1	0	0	3	0	0	0
V0D57M_1	20	12	1	10	12	6	1	11	5	3	0	10	11	6	1	13	9	8	4	12	3	5	1	6	3	4	0	8	6	6	0	18	24	16	25	26	23	19	15	22	11	6	26	14	66	36	13	43	4	5	11	11	7	8	10	8	3	2	4	1	27	8	6	17	27	5	13	22	6	12	4	9	9	8	12	15	10	11	8	16	8	5	7	8	7	5	7	12	5	2	7	5	11	4	12	23
V0D57M_2	2	3	1	3	1	1	0	1	0	1	0	4	7	4	1	4	1	0	0	1	0	1	1	2	1	2	0	0	0	3	0	3	4	1	9	3	4	6	5	3	2	2	5	5	5	3	2	4	2	1	0	4	0	0	2	1	1	1	0	3	8	0	2	3	7	1	2	5	2	2	3	4	3	4	5	2	9	6	3	4	1	2	0	2	4	1	4	4	5	0	1	4	4	1	0	8
PD26435_subclonal	21	22	2	16	11	12	4	13	17	8	1	12	11	14	3	36	3	7	1	4	8	7	0	7	2	6	2	2	10	2	0	17	13	5	6	13	10	11	11	17	10	11	11	20	17	21	11	17	13	9	6	14	7	8	7	12	3	2	3	5	9	5	9	12	10	8	12	9	6	3	6	5	5	5	2	9	14	3	4	5	2	0	5	4	0	2	4	6	2	1	1	2	8	1	4	8
PD26435_1	31	17	7	17	16	25	2	14	9	16	2	12	21	22	2	25	11	2	2	12	3	4	1	6	4	2	0	5	4	5	1	15	24	13	6	17	11	10	11	20	19	15	17	17	24	21	14	22	12	11	14	22	9	10	16	8	9	3	7	15	17	9	5	8	11	9	12	26	8	10	16	9	9	4	8	7	12	7	4	7	8	5	6	11	1	3	7	8	1	0	5	6	10	3	1	14
PD26435_2	6	6	0	7	6	4	0	3	2	1	0	0	4	7	1	8	4	1	0	1	1	1	0	1	4	4	1	1	4	2	0	1	5	3	8	7	2	1	3	8	2	3	4	6	3	4	0	4	3	2	2	8	0	3	4	3	1	2	1	6	4	0	3	4	6	2	3	3	3	4	2	7	2	1	2	2	3	3	2	7	1	1	1	4	3	1	3	12	0	1	1	1	1	1	1	6
PD26412_3	1	0	0	0	2	1	0	3	0	0	0	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	2	4	0	0	2	2	0	0	0	2	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	1	2	0	0	1	1	0	1	3	1	2	1	2	0	1	1	0	1	1	2	2	3	0	1	1	1	0	1	3	1	0	2	1	3	0	0	5
PD26412_1	6	0	1	3	3	4	1	5	2	0	0	1	4	2	1	3	2	3	0	1	1	1	0	0	0	1	0	1	1	2	1	2	4	1	2	9	5	3	3	5	2	4	4	2	8	7	1	5	5	1	2	4	2	2	0	3	0	1	1	1	2	3	3	2	4	1	4	7	4	3	1	5	2	0	4	1	5	1	0	3	3	0	1	2	4	0	0	7	0	1	0	3	5	1	2	2
V0D583_1	6	8	0	2	7	6	0	2	1	2	0	2	3	4	0	11	4	0	0	7	0	0	0	2	1	2	0	1	2	1	0	10	5	3	4	1	5	6	3	3	4	0	5	6	7	8	1	14	3	2	2	5	4	0	1	6	2	1	0	6	10	2	3	6	7	2	3	5	3	3	4	3	1	3	3	1	3	3	3	4	7	0	0	3	0	2	2	4	0	1	0	0	0	0	3	5
V0D583_subclonal	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
V0D583_2	2	2	0	2	0	0	0	1	1	0	0	0	3	1	0	5	1	1	0	0	0	1	0	0	0	1	0	0	1	2	1	3	2	0	3	2	3	0	3	4	1	4	2	4	3	5	1	0	3	0	2	4	0	2	1	0	0	0	0	0	2	1	1	4	1	2	1	1	1	2	0	1	1	2	3	1	1	2	2	2	3	2	1	3	0	1	0	3	2	0	1	1	0	1	1	2
MMRC0244BM_2	6	4	1	5	1	4	0	3	1	3	1	5	7	6	1	9	3	1	0	1	1	0	1	2	1	3	1	2	3	1	2	3	11	3	19	7	8	4	21	7	3	4	13	7	9	7	12	4	11	0	5	9	5	0	2	5	1	3	1	0	14	3	4	7	18	4	15	19	8	2	10	9	7	10	6	8	7	7	12	14	15	4	1	9	11	3	7	28	5	1	1	5	16	3	5	22
MMRC0244BM_subclonal	5	1	0	1	4	2	0	1	1	2	0	2	2	3	0	2	1	1	0	1	0	1	1	2	1	0	0	0	2	1	0	5	1	0	0	0	0	0	1	0	1	3	0	1	1	5	0	7	5	0	0	8	1	0	1	1	1	0	0	0	10	1	0	9	7	0	4	2	0	1	2	1	1	0	0	4	2	2	1	4	3	0	2	1	1	2	2	3	2	1	1	4	2	0	2	1
MMRC0244BM_1	20	8	4	8	10	7	1	6	10	10	2	2	16	9	1	18	9	3	1	5	3	3	2	3	5	3	0	4	2	3	1	10	28	9	39	10	19	14	16	15	18	13	28	16	42	26	17	28	24	8	10	31	7	6	6	10	4	3	3	4	22	9	3	11	30	9	23	18	23	11	23	25	20	6	10	25	13	8	11	24	18	9	7	19	14	5	12	47	8	3	10	18	23	7	5	44
PD26404_2	3	2	0	0	5	5	1	5	3	1	0	3	7	3	0	8	0	1	0	0	0	1	0	0	1	0	0	0	1	2	0	1	2	0	8	1	2	3	4	6	3	4	5	2	2	4	9	9	4	2	2	6	1	1	5	1	2	0	1	0	11	2	2	4	5	4	7	9	4	1	4	6	4	3	1	2	5	7	1	6	13	1	1	6	6	1	4	10	0	1	0	3	14	3	1	9
PD26404_1	15	14	3	10	13	8	3	7	7	6	3	4	19	6	2	18	4	6	0	7	1	3	1	6	0	3	1	2	4	4	1	11	31	10	39	14	21	18	22	13	10	11	30	17	25	23	17	30	8	0	5	11	2	2	11	13	3	4	6	4	10	3	5	11	16	5	16	16	8	10	7	16	12	17	9	17	11	11	6	17	13	5	2	7	7	2	2	15	1	2	2	7	14	4	4	21
PD26404_subclonal	1	0	0	1	1	2	0	1	0	0	0	0	1	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	2	0	1	1	0	0	1	1	0	0	1	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	1	0	1	1	1	1	0	2	0	0	0	0	0	0	2	0	1	1	1	0	0	2	1	0	0	0	2	1	1	2	0	0	1	0	0	1	0	0
MMRC006BBM_subclonal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PD26407_1	4	5	1	5	8	3	0	5	7	6	0	2	4	3	1	6	1	0	2	1	2	1	0	3	1	0	0	3	1	0	0	4	14	5	10	6	11	7	5	10	11	5	13	6	14	9	10	16	7	3	5	10	3	2	3	7	2	1	2	3	9	3	3	5	11	3	13	10	2	2	2	4	8	1	5	3	5	6	3	11	7	1	2	6	4	0	2	10	1	1	0	5	10	1	1	5
PD26407_2	3	3	0	0	8	0	0	4	2	0	0	1	2	4	0	6	2	0	0	4	0	0	0	0	1	1	0	1	1	1	0	1	5	3	12	1	0	1	3	2	1	2	2	1	2	2	4	0	1	3	2	5	0	0	1	1	1	0	0	2	2	0	6	6	7	5	3	6	6	2	3	3	1	2	3	1	3	2	1	8	7	2	3	0	4	1	2	9	0	1	0	0	10	1	0	5
PD26407_subclonal	1	1	0	1	1	2	0	1	2	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0	0	2	0	0	0	5	2	4	0	3	0	1	1	2	0	1	0	6	1	1	3	5	6	7	2	1	1	3	2	0	0	0	0	0	1	2	1	1	2	0	3	3	0	2	4	1	2	2	4	2	1	1	2	1	1	1	0	0	0	1	0	1	1	0	1	2	1	0	1
PD26410_2	4	3	0	3	4	0	0	4	4	6	0	9	4	1	1	15	3	1	0	1	1	0	0	1	1	4	0	1	2	2	1	2	10	4	5	8	6	3	4	5	4	2	11	5	10	1	6	10	3	1	1	4	1	0	2	3	2	1	0	0	4	1	5	5	16	1	5	6	4	4	3	5	1	6	3	3	6	5	2	9	5	1	1	2	5	2	8	14	1	1	0	4	14	3	4	3
PD26410_1	26	19	4	15	18	6	4	19	15	14	0	16	19	16	4	38	12	10	0	7	3	6	2	5	7	5	1	9	8	7	1	17	40	14	51	21	43	18	24	37	27	28	31	21	68	48	22	67	7	7	10	24	6	7	9	15	3	5	6	9	17	3	5	11	28	9	16	32	11	6	8	12	12	6	12	14	12	18	16	18	9	4	8	11	10	4	7	23	8	3	4	16	22	8	9	19
PD26410_3	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	1	0	2	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	3	0	0	2	1	1	1	0	0	0	0	1	1	2	1	1	1	0	0	0	2	1	1	0	0	1	1	1	1
V0D57H_1	13	17	0	16	16	20	1	26	4	5	1	14	12	15	2	15	6	6	0	6	5	1	3	2	1	6	1	6	5	6	0	13	14	5	4	11	12	2	11	18	2	5	4	7	24	23	4	36	9	7	7	18	12	8	11	22	3	2	3	15	14	9	6	16	8	3	4	14	4	6	4	6	7	1	7	4	8	10	1	8	4	1	6	1	2	1	7	6	0	1	1	6	10	3	7	5
MMRC023ZBM_subclonal	7	5	0	1	12	1	0	7	9	2	1	3	5	8	3	5	2	2	0	3	4	3	0	2	1	0	0	1	8	1	1	1	8	6	3	3	6	2	2	8	7	3	3	9	11	11	1	11	16	1	1	7	6	4	2	7	4	2	1	2	14	2	3	14	5	0	2	5	6	2	6	4	2	0	1	7	5	7	3	6	6	0	5	1	6	0	4	5	3	0	2	6	3	0	3	8
MMRC023ZBM_1	40	38	4	19	47	18	11	32	19	9	1	17	29	17	1	37	17	18	1	7	72	14	0	40	27	10	1	13	42	25	2	39	52	30	36	33	64	27	15	48	55	72	24	64	74	45	15	59	26	11	8	35	14	16	12	24	17	3	2	23	32	11	18	32	65	12	15	38	26	13	18	39	24	15	12	23	51	28	12	38	10	6	8	16	27	15	10	40	21	1	14	15	67	4	11	60
MMRC023ZBM_2	0	2	0	4	3	2	0	1	3	1	0	0	3	0	0	2	2	0	0	0	3	0	2	1	3	2	0	2	2	2	0	1	3	10	8	4	5	4	4	1	0	8	4	8	5	3	4	3	3	0	2	2	3	0	0	0	0	0	0	0	2	4	0	5	8	1	3	6	3	2	3	2	1	2	1	1	1	2	4	3	2	1	4	2	1	2	1	6	0	0	0	1	6	1	1	5
V0D57H_2	4	3	1	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	5	1	0	0	2	3	5	0	5	2	0	1	1	0	0	1	2	1	0	0	1	4	0	0	2	1	1	3	0	0	1	0	2	1	0	0	1	0	0	1	0	1	0	1	0	0	1	3	3	0	0	0	0	1	0	2	1
PD26429_1	12	11	1	7	9	5	0	7	7	10	3	3	14	7	2	15	4	4	0	3	4	1	0	3	4	3	2	6	8	7	1	12	27	15	32	15	14	14	19	16	20	16	26	14	28	32	18	37	2	5	7	5	3	3	5	9	4	7	4	4	15	5	5	11	9	7	17	23	8	8	8	10	10	14	5	13	10	8	10	13	5	1	5	3	11	2	7	14	1	3	3	2	21	1	3	11
PD26415_subclonal	1	3	0	1	3	3	0	0	0	0	1	2	3	3	1	4	0	2	0	1	0	2	0	0	0	0	0	0	2	3	0	1	1	2	4	2	4	2	5	4	3	1	6	2	4	8	3	6	2	0	2	2	5	0	0	2	1	0	0	0	1	0	1	0	2	1	1	5	1	1	3	2	1	4	1	2	3	0	3	4	2	1	1	0	4	1	0	2	0	0	2	1	6	0	0	2
PD26415_1	1	1	0	3	0	0	0	3	1	2	0	5	4	4	0	17	2	0	1	0	0	0	0	4	0	1	0	2	0	5	1	2	4	1	6	5	3	1	1	4	4	1	1	3	5	5	3	5	3	0	1	3	1	2	1	3	1	0	1	2	3	1	4	3	7	3	2	4	4	0	1	8	4	3	1	0	5	2	0	5	1	1	2	1	2	1	3	9	1	1	0	7	10	2	2	7
