A.C.A.A	A.C.A.C	A.C.A.G	A.C.A.T	C.C.A.A	C.C.A.C	C.C.A.G	C.C.A.T	G.C.A.A	G.C.A.C	G.C.A.G	G.C.A.T	T.C.A.A	T.C.A.C	T.C.A.G	T.C.A.T	A.C.G.A	A.C.G.C	A.C.G.G	A.C.G.T	C.C.G.A	C.C.G.C	C.C.G.G	C.C.G.T	G.C.G.A	G.C.G.C	G.C.G.G	G.C.G.T	T.C.G.A	T.C.G.C	T.C.G.G	T.C.G.T	A.C.T.A	A.C.T.C	A.C.T.G	A.C.T.T	C.C.T.A	C.C.T.C	C.C.T.G	C.C.T.T	G.C.T.A	G.C.T.C	G.C.T.G	G.C.T.T	T.C.T.A	T.C.T.C	T.C.T.G	T.C.T.T	A.T.A.A	A.T.A.C	A.T.A.G	A.T.A.T	C.T.A.A	C.T.A.C	C.T.A.G	C.T.A.T	G.T.A.A	G.T.A.C	G.T.A.G	G.T.A.T	T.T.A.A	T.T.A.C	T.T.A.G	T.T.A.T	A.T.C.A	A.T.C.C	A.T.C.G	A.T.C.T	C.T.C.A	C.T.C.C	C.T.C.G	C.T.C.T	G.T.C.A	G.T.C.C	G.T.C.G	G.T.C.T	T.T.C.A	T.T.C.C	T.T.C.G	T.T.C.T	A.T.G.A	A.T.G.C	A.T.G.G	A.T.G.T	C.T.G.A	C.T.G.C	C.T.G.G	C.T.G.T	G.T.G.A	G.T.G.C	G.T.G.G	G.T.G.T	T.T.G.A	T.T.G.C	T.T.G.G	T.T.G.T
MMRC0244BM_1_chr1_chr1-145531015-226229847-gain	3	1	1	1	1	2	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	3	1	2	0	2	1	0	1	1	0	1	2	1	4	5	0	1	3	1	0	0	1	0	1	1	0	3	1	0	0	3	2	3	2	1	0	1	1	3	0	3	1	1	0	2	3	4	2	3	2	0	1	2	3	0	1	1	0	3	2	0	2
MMRC0244BM_2_chr1_chr1-145531015-226229847-gain	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	2	0	0	3	1	1	1	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	2	1	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	1	1	3	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2
PD26419_1_chr1_chr1-802026-99970712-LOH	1	1	0	3	4	1	1	1	0	0	0	0	1	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	3	0	0	0	1	0	0	2	2	0	1	2	0	8	1	0	8	0	0	0	1	0	2	1	0	0	0	1	0	3	0	1	1	0	1	0	1	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	1
PD26419_2_chr1_chr1-802026-99970712-LOH	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	1	2	0	1	2	1	2	1	7	1	0	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
PD26419_1_chr1_chr1-121346913-249172187-gain_2	4	2	0	2	2	4	1	5	2	1	0	0	1	1	2	1	1	0	0	1	1	0	1	2	0	0	0	1	12	0	1	17	2	0	3	3	3	1	4	3	4	1	6	3	19	4	1	13	1	0	3	2	1	0	1	2	0	1	0	3	1	0	0	2	4	0	2	0	0	0	0	2	2	2	0	1	3	1	0	2	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	3
PD26419_2_chr1_chr1-121346913-249172187-gain_2	1	1	0	3	2	1	0	1	0	0	0	0	1	1	1	4	1	2	0	0	0	0	0	2	0	0	0	0	1	0	0	11	0	0	8	3	2	0	0	1	2	2	0	0	17	3	4	3	0	0	0	1	0	2	2	0	1	1	1	0	1	0	0	0	1	1	0	3	0	3	1	1	1	1	0	1	0	2	1	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
PD26435_1_chr1_chr1-121321866-249201268-gain	2	0	1	1	1	1	1	2	3	2	0	2	3	5	0	2	0	1	0	0	0	2	0	0	0	0	0	0	1	1	0	3	6	2	0	1	2	0	2	2	6	2	3	1	3	3	4	5	3	2	1	5	0	0	2	1	3	0	1	1	2	2	1	0	3	1	1	9	2	1	3	2	3	0	0	2	1	1	1	2	0	0	1	4	0	2	0	0	0	0	2	1	0	0	0	0
PD26435_2_chr1_chr1-121321866-249201268-gain	2	1	0	0	2	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	2	1	1	0	1	2	0	0	1	0	0	0	0	0	2	0	0	1	4	0	2	0	0	0	0	0	2	0	0	0	0	2	1	0	1	0	1	0	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	1	1	0	0	1	0	1	1	0	0
MMRC01YHBM_1_chr1_chr1-145389264-249203006-gain	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	1	2	2	1	0	2	0	0	2	1	1	2	1	4	0	1	0	1	0	0	0	1	0	1	0	0	2	0	1	0	1	0	1	1	0	2	2	2	1	0	0	1	1	1	1	2	1	0	2	0	1	0	1	0	1	0	0	0	1	0	0	3
MMRC01YHBM_2_chr1_chr1-145389264-249203006-gain	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	2	0	2	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1
PD26403_1_chr1_chr1-145376198-249201480-gain	3	2	1	0	3	1	0	2	1	1	0	0	1	2	0	3	2	2	0	3	0	0	0	1	0	1	0	1	0	0	0	1	7	3	5	2	1	0	2	2	0	1	4	0	6	2	1	3	3	1	0	7	1	1	2	0	0	0	0	0	1	1	1	2	7	1	1	6	2	1	1	1	3	1	2	3	5	3	0	3	3	0	0	0	1	0	3	3	1	0	0	1	1	1	3	1
PD26400_3_chr1_chr1-120848685-249223485-gain_2	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	1	1	2	0	0	1	1	0	0	2	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	2	1	0	1	3	1	0	2	1	1	1	0	1	0	0	1	1	0	0	3	0	0	0	0	3	0	0	4
PD26400_2_chr1_chr1-120848685-249223485-gain_2	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	1	0	0	0	1	1	0	0	0	0	1	0	3	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
PD26400_1_chr1_chr1-120848685-249223485-gain_2	4	3	0	5	1	1	0	2	2	0	0	0	0	2	0	1	0	2	0	1	0	1	0	0	0	0	0	1	2	1	0	2	3	1	5	2	1	1	5	2	2	2	1	4	9	3	1	3	2	2	1	2	0	2	0	1	1	0	0	2	0	0	0	4	1	0	3	1	2	2	3	4	1	4	1	6	0	4	0	3	1	2	1	1	1	0	0	2	0	1	2	4	3	2	0	6
V0D57M_2_chr1_chr1-160821549-195932954-gain	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0
PD26411_1_chr1_chr1-144896319-249200985-gain	2	1	0	2	5	0	0	1	2	0	0	2	0	0	1	1	1	0	0	1	2	0	0	0	1	1	0	0	0	0	0	2	0	2	4	1	2	4	4	1	3	3	4	1	4	1	1	2	3	0	0	0	0	0	1	0	0	0	0	2	0	2	3	0	1	0	1	2	0	2	1	2	0	1	1	1	1	1	0	1	1	0	0	2	2	0	0	5	0	0	0	1	1	0	1	1
PD26411_2_chr1_chr1-144896319-249200985-gain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	1	1	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	3	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	2	2	0	0	0
V0D583_1_chr1_chr1-145383170-249156121-gain	4	4	0	0	1	5	0	0	0	0	0	1	1	3	0	4	3	0	0	3	0	0	0	0	0	1	0	0	2	0	0	6	1	1	2	1	4	3	1	2	0	0	4	2	3	4	1	5	0	2	1	0	3	0	1	4	0	0	0	1	5	0	0	3	1	1	2	2	1	1	1	2	0	1	3	0	1	1	3	3	3	0	0	2	0	0	0	2	0	1	0	0	0	0	0	2
V0D583_2_chr1_chr1-145383170-249156121-gain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	2	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
PD26403_2_chr1_chr1-145376198-249201480-gain	0	0	0	2	0	0	0	1	1	0	0	2	2	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	2	0	0	0	2	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	2	1	1	1	2	1	0	1	0	1	2	3	0	1	0	1	0	3	0	2	1	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0
PD26412_2_chr1_chr1-145396435-249208772-gain_3	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	0	0	1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PD26412_1_chr1_chr1-145396435-249208772-gain_3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	1	1	1
PD26412_3_chr1_chr1-145396435-249208772-gain_3	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	1	2	1	0	0	1	1	0	0	2	1	0	1	1	2	0	0	2
PD26423_2_chr1_chr1-828166-249214082-LOH	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	1	1	0	1	1	0	2	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	1	1	2	0	1	0	1	0	0	1	1	1	0	2	0	2	0	1	0	0	0	1	0	0	1	2	0	0	0	2	0	0	0	0
PD26423_1_chr1_chr1-828166-249214082-LOH	1	1	0	0	2	0	1	0	2	0	1	1	2	4	0	3	1	1	1	1	0	0	0	0	1	0	0	1	1	1	0	0	2	1	4	5	1	6	4	1	2	0	4	4	3	3	1	7	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	1	1	1	1	0	0	0	1	2	1	0	0	0	1	1	2	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1
PD26411_2_chr1_chr1-762601-121324542-LOH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PD26411_1_chr1_chr1-762601-121324542-LOH	2	0	0	1	0	0	0	1	1	1	0	0	2	0	0	4	2	0	1	0	1	1	0	0	0	0	0	2	0	2	0	4	1	0	4	3	0	0	2	2	1	0	8	0	2	0	1	2	1	1	1	0	0	1	2	0	1	1	0	1	2	0	1	1	3	0	1	3	1	0	0	0	2	1	1	2	1	3	0	0	1	0	0	1	1	0	0	1	0	0	2	0	1	1	1	1
MMRC006BBM_1_chr10_chr10-20000428-135235890-gain	3	1	0	3	6	3	0	4	4	2	1	2	17	7	0	13	1	1	0	4	2	2	1	9	0	0	0	2	30	8	2	35	6	0	5	10	10	4	4	8	9	5	2	6	86	22	7	48	2	2	3	4	7	1	1	3	5	2	4	0	6	0	1	3	2	1	2	0	2	2	0	1	6	3	2	2	5	3	2	6	3	1	1	0	5	0	0	1	1	0	1	3	4	2	1	3
PD26411_1_chr10_chr10-93528-135235890-LOH	0	1	1	3	0	2	0	4	0	0	0	0	1	0	0	0	2	1	0	0	1	0	1	0	0	2	0	0	1	1	0	0	2	0	2	2	1	0	2	2	0	1	2	3	0	2	2	3	1	0	1	0	1	1	0	0	0	0	0	0	2	1	0	0	2	0	1	2	1	0	0	1	0	2	1	2	1	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	2	0
MMRC006BBM_2_chr10_chr10-20000428-135235890-gain	2	1	1	1	3	3	0	1	0	0	0	0	1	2	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	2	3	0	0	3	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	1	1	1	0	0	3	0	2	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
PD26404_2_chr10_chr10-94426-135235890-LOH	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	2	2	3	1	2	1	0	0	2	1	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	2	2	0	0	0	2	0	1	0	1	1	1	0	1	2	0	0	1	0	0	0	1	0	0	0	1	4	0	0	1
PD26411_2_chr10_chr10-93528-135235890-LOH	0	0	0	1	0	0	0	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	0	1	0	2	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	3	1	0	1	2
PD26404_1_chr10_chr10-94426-135235890-LOH	0	0	0	1	1	2	0	0	0	0	0	0	3	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	3	1	1	2	2	5	1	2	3	1	0	2	3	2	2	2	4	1	0	0	0	1	0	1	0	0	0	1	1	2	0	0	2	2	1	1	3	0	0	1	0	3	3	0	0	1	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MMRC0244BM_2_chr11_chr11-202072-120083271-gain	1	0	0	1	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	1	0	0	0	0	1	1	1	0	1	0	1	0	3	0	1	1	1	0	0	1	0	0	0	0	1	1	2	2	4	1	0	7	0	0	2	0	1	2	0	0	1	2	3	3	4	1	0	2	3	0	0	7	0	0	0	1	5	0	0	3
PD26404_2_chr11_chr11-202072-134939568-gain	0	1	0	0	2	1	1	1	0	0	0	1	2	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	2	1	1	0	0	4	1	0	1	2	1	0	1	1	1	0	0	0	1	0	0	0	2	0	1	2	0	0	0	2	2	2	0	1	0	0	0	3	2	1	1	2	2	0	1	4	0	0	0	1	3	0	0	2
MMRC0244BM_1_chr11_chr11-202072-120083271-gain	0	1	0	1	2	0	0	0	5	1	0	0	2	1	0	3	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	2	1	5	1	4	3	2	3	4	2	4	3	5	2	0	2	2	2	0	5	1	1	2	1	0	0	0	1	2	1	0	3	2	2	6	4	4	3	3	5	5	0	2	4	0	0	0	0	3	1	0	4	4	0	1	4	0	0	1	1	5	2	0	4
PD26404_1_chr11_chr11-202072-134939568-gain	4	4	0	2	1	1	0	1	2	2	2	2	2	1	1	1	1	2	0	2	0	1	0	1	0	0	0	1	0	2	1	1	6	0	6	4	3	3	5	3	0	2	8	2	5	3	4	3	0	0	2	2	0	1	3	4	2	1	2	2	3	1	0	0	1	0	4	2	1	2	4	3	1	3	0	4	1	6	1	3	4	1	1	3	3	2	0	2	0	0	1	3	5	0	3	4
PD26407_1_chr11_chr11-197557-134945797-gain	0	2	0	0	2	1	0	3	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	3	2	2	2	1	1	3	4	0	1	1	4	1	2	5	1	1	0	2	1	0	1	1	0	0	0	0	1	1	0	5	2	0	1	0	1	0	1	3	3	0	1	0	1	2	1	2	0	1	0	1	0	0	0	2	0	1	0	1	2	0	0	1
PD26407_2_chr11_chr11-197557-134945797-gain	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	5	2	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0
V0D57H_1_chr11_chr11-97481883-104974826-gain	1	0	0	1	2	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	3	0	1	0	0	1	0	0	1	0	0	1	1	1	0	1	2	0	0	1	2	1	1	1	0	0	0	0	3	0	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	0	2	1
V0D56W_1_chr11_chr11-200289--134944160-gain	2	1	1	0	2	1	0	1	0	1	0	2	1	0	0	5	0	2	1	1	1	1	0	1	0	0	0	1	4	1	0	4	1	2	2	1	2	1	0	1	2	0	2	3	5	2	0	11	2	1	1	2	1	0	0	1	1	0	0	0	0	0	1	4	4	2	2	1	1	0	2	0	2	1	0	2	2	1	1	1	0	0	0	1	0	1	2	2	0	0	0	1	1	0	1	1
PD26426_1_chr11_chr11-196944-134945765-gain	8	4	0	11	13	10	2	7	10	1	0	10	6	6	1	24	4	5	1	1	7	5	0	3	3	6	0	3	2	5	2	2	6	1	13	7	4	4	9	10	7	8	16	4	3	6	5	6	4	1	4	4	1	2	5	5	1	2	3	2	8	3	2	7	7	5	3	8	1	7	2	9	5	3	4	4	8	9	1	8	0	2	1	6	1	3	2	6	1	0	3	3	1	2	1	4
PD26418_3_chr11_chr11-69443822-113817468-gain_3	0	0	0	0	1	0	1	2	0	0	0	1	2	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	1	0	2	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0
PD26418_1_chr11_chr11-69443822-113817468-gain_3	1	0	0	2	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	4	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
V0D57H_1_chr11_chr11-69448294-91721514-gain	0	4	0	0	2	2	0	2	0	1	0	1	3	0	2	1	1	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	3	0	1	0	6	0	0	2	0	0	0	1	3	2	0	8	0	2	0	3	3	0	1	2	1	0	0	2	3	1	1	5	1	0	0	0	0	0	2	0	2	1	0	0	1	2	0	2	1	1	1	0	0	0	2	0	0	0	1	2	1	1	0	2
MMRC01YHBM_1_chr11_chr11-302191-134944160-gain	1	0	1	0	3	1	0	0	0	1	0	0	1	0	0	4	1	2	0	1	0	1	0	1	0	1	0	0	1	1	0	1	1	3	4	6	1	3	1	3	1	3	3	1	8	2	3	2	1	1	0	0	0	2	1	1	0	0	0	0	3	1	0	4	2	2	2	6	0	0	3	0	2	1	1	2	0	3	1	2	1	0	0	0	0	0	0	1	0	0	0	0	2	0	2	2
