A.C.A.A	A.C.A.C	A.C.A.G	A.C.A.T	C.C.A.A	C.C.A.C	C.C.A.G	C.C.A.T	G.C.A.A	G.C.A.C	G.C.A.G	G.C.A.T	T.C.A.A	T.C.A.C	T.C.A.G	T.C.A.T	A.C.G.A	A.C.G.C	A.C.G.G	A.C.G.T	C.C.G.A	C.C.G.C	C.C.G.G	C.C.G.T	G.C.G.A	G.C.G.C	G.C.G.G	G.C.G.T	T.C.G.A	T.C.G.C	T.C.G.G	T.C.G.T	A.C.T.A	A.C.T.C	A.C.T.G	A.C.T.T	C.C.T.A	C.C.T.C	C.C.T.G	C.C.T.T	G.C.T.A	G.C.T.C	G.C.T.G	G.C.T.T	T.C.T.A	T.C.T.C	T.C.T.G	T.C.T.T	A.T.A.A	A.T.A.C	A.T.A.G	A.T.A.T	C.T.A.A	C.T.A.C	C.T.A.G	C.T.A.T	G.T.A.A	G.T.A.C	G.T.A.G	G.T.A.T	T.T.A.A	T.T.A.C	T.T.A.G	T.T.A.T	A.T.C.A	A.T.C.C	A.T.C.G	A.T.C.T	C.T.C.A	C.T.C.C	C.T.C.G	C.T.C.T	G.T.C.A	G.T.C.C	G.T.C.G	G.T.C.T	T.T.C.A	T.T.C.C	T.T.C.G	T.T.C.T	A.T.G.A	A.T.G.C	A.T.G.G	A.T.G.T	C.T.G.A	C.T.G.C	C.T.G.G	C.T.G.T	G.T.G.A	G.T.G.C	G.T.G.G	G.T.G.T	T.T.G.A	T.T.G.C	T.T.G.G	T.T.G.T
PD26403a_chr12_1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	6	0	4	1	1	1	3	4	2	2	1	2	0	3	1	2	1	0	0	1	0	2	0	0	0	0	1	4	0	0	0	0	0	0	2	0	0	3	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MMRC006BBM_chr13_1	1	1	3	1	0	1	0	1	0	0	0	1	5	2	0	4	0	1	0	0	3	2	1	1	2	2	0	1	22	7	0	21	2	0	0	0	6	1	0	1	4	1	4	1	66	12	6	31	4	0	3	1	0	0	2	3	4	0	0	1	2	0	0	1	1	0	1	3	1	0	2	2	1	0	0	1	1	2	1	1	0	0	0	0	2	0	1	0	2	0	1	0	4	0	1	2
MMRC006BBM_chr13_2	3	1	0	0	0	2	0	1	1	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	1	1	1	0	1	1	2	0	3	3	0	0	0	2	2	1	0	3	0	1	0	1	1	0	0	1	2	0	0	2	0	1	0	0	0	0	0	1	2	0	0	2	0	0	0	2	1	1	2	1	0	0	2	1	1	0	0	2
MMRC02G7BM_chr13_2	2	3	0	0	4	3	0	2	4	3	0	0	2	4	2	6	0	1	0	1	3	0	0	2	0	1	0	1	0	1	0	1	7	5	0	5	5	1	1	2	1	1	0	3	10	4	0	10	2	3	1	2	2	1	1	1	1	0	0	1	2	0	1	5	2	0	2	3	0	1	1	2	2	1	4	2	3	1	3	3	3	0	1	0	2	2	0	2	1	1	0	3	7	1	0	2
V0D577_chr13_2	1	4	0	1	2	1	1	2	0	2	1	1	2	1	0	7	0	1	0	0	0	1	0	2	0	0	0	0	4	0	0	3	3	3	3	0	0	0	1	0	1	1	0	1	1	1	2	2	0	0	1	1	0	0	0	0	0	0	2	1	1	0	3	2	1	1	1	1	0	1	1	2	1	0	0	1	0	0	2	2	2	0	0	1	0	0	0	1	0	1	0	2	4	1	0	2
V0D577_chr13_1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1
MMRC02G7BM_chr13_1	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	3	0	0	0
V0D583_chr13_2	0	1	0	1	0	0	0	0	0	0	0	0	2	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	3	0	1	1	1	2	4	0	0	2	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	2	0	0	0	0	2	0	0	1	1	1	2	2	0	1	0	0	0	1	0	0	1	0	0	0	0	2
V0D583_chr13_1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD26400a_chr16_2	0	0	0	0	2	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	1	1	0	1	0	0	0	1	0	1	0	1	1	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	2	1	0	1	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	2	0	0	0
MMRC006BBM_chr16_1	0	0	0	1	1	0	0	0	2	0	0	1	3	2	0	1	0	1	0	0	0	1	0	2	0	0	0	0	9	1	0	13	1	0	0	1	0	2	1	1	2	1	2	2	25	4	6	13	0	0	0	0	2	0	0	0	0	0	3	0	3	1	0	2	1	0	1	0	3	1	1	1	2	0	0	0	1	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0	2	0	0	0
MMRC006BBM_chr16_2	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	0	0	1	3	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
PD26400a_chr16_1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD26429a_chr16_1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	1	1	1	0	0	3	0	1	2	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD26429a_chr16_2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
PD26424a_chr21_1	3	2	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	1	2	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD26424a_chr21_2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
PD26415c_chr3_2	0	1	0	1	0	1	0	2	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	3	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	0	2	0	0	2	0	0	0	0	1	3	0	0	0	2	1	1	1	1	1	1	1	0	0	1	1	2	1	1	1	0	0	1	1	0	1	2	6	0	0	1	2	2	0	2	7
PD26415c_chr3_1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	1	2	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	2	2	1	2	0	0	2	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
PD26407a_chr3_1	1	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	4	1	1	0	2	2	6	2	2	1	2	2	2	0	1	2	1	1	1	0	0	0	0	2	1	0	0	0	2	2	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
PD26407a_chr3_2	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	3	1	7	0	0	0	1	1	0	0	1	0	0	0	2	0	1	1	1	3	0	0	0	0	1	0	0	1	1	0	1	3	2	1	1	1	2	1	0	0	0	1	0	1	2	0	0	0	3	0	1	0	1	0	1	6	0	0	0	0	4	0	0	2
PD26426e_chr4_1	9	8	0	5	3	4	1	7	3	4	1	7	5	7	0	10	5	1	0	1	1	0	0	1	1	0	1	4	4	1	0	5	9	4	4	2	3	2	3	2	8	3	6	2	5	9	2	5	4	5	1	8	0	2	2	6	0	2	1	2	5	5	0	5	6	5	7	5	3	2	4	4	1	2	1	1	2	5	2	4	0	1	1	2	1	1	1	0	1	0	0	1	0	3	4	4
PD26426e_chr4_2	1	2	0	0	3	0	0	1	0	0	0	1	1	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	1	1	1	1	0	1	1	1	4	1	1	0	2	3	2	0	0	1	0	0	1	2	1	2	1	0	0	0	1	5	0	3	7
PD26418a_chr5_2	2	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	3	1	0	0	2	3	1	2	1	1	1	1	0	0	2	1	0	2	1	0	0	0	1	1	0	0	1	1	4	0	2	0	1	1	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	2
PD26418a_chr5_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MMRC006BBM_chr6_1	6	2	0	1	5	1	0	0	3	2	0	1	6	3	0	7	1	0	0	2	2	1	0	4	2	1	0	0	12	0	1	43	2	1	2	2	8	0	2	2	1	6	2	1	56	12	7	45	6	0	2	4	2	1	0	4	4	2	0	2	5	0	2	2	4	0	3	1	3	5	2	2	4	0	0	2	3	1	0	0	1	1	1	0	5	1	1	2	3	1	2	1	1	0	2	2
MMRC006BBM_chr6_2	1	0	0	0	0	0	0	2	0	0	0	2	1	3	0	1	2	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	1	1	2	2	0	0	2	0	0	0	1	3	5	0	1	3	1	0	0	1	2	0	0	1	1	0	0	2	2	0	1	2	1	0	1	0	3	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
PD26407a_chr6_2	0	1	0	0	1	0	0	2	1	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	2	3	1	0	1	0	1	2	1	0	1	0	1	0	0	1	2	0	1	0	1	0	0	1	0	1	0	0	1	0	0	2
V0D577_chr6_1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
V0D577_chr6_2	2	1	0	1	3	0	0	0	1	0	0	1	2	0	0	3	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	2	2	2	0	0	0	0	1	1	2	0	1	1	3	0	1	1	0	0	2	0	0	0	1	3	1	1	1	0	1	0	3	0	1	0	2	1	0	1	0	1	3	0	2	2	0	0	0	0	0	0	2	1	0	0	0	0	1	2	4
PD26407a_chr6_1	1	0	0	1	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	3	0	1	2	0	1	2	1	1	1	1	0	0	0	2	0	0	0	1	0	0	0	0	2	0	0	0	2	1	3	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1
